Datetime,ScreenName,Text,Geolocation
3/7/2021 23:59,Innocent1Ashish,@Cute__Ruchi @RoopShehnaazian Suspend nhi h thodi der me sab activate ho jayega,Mumbai
3/7/2021 23:59,levonmark_,"RT @BOWorldwide: #VakeelSaabReview: #PawanKalyan’s Film Is A Story That Makes You Think &amp; Cry At The Same Time!

Critics Rating: ⭐⭐⭐ 1/2

@…",Mumbai
3/7/2021 23:59,YashuRakul,RT @taran_adarsh: #South leads yet again... #Telugu film #VakeelSaab [#PawanKalyan] and #Tamil film #Karnan [#Dhanush] are setting the #BO…,Mumbai
3/7/2021 23:59,Iraivan10,@c0rpscat based post,Mumbai
3/7/2021 23:59,layshaglezzz,RT @vikasydv_: I’m the one who is hurting my own feelings by having high hopes lol,Mumbai
3/7/2021 23:59,An0nymous07,@bisouvante A Smut's coming!!!!!,Mumbai
3/7/2021 23:59,Sathish_1018,RT @bhogleharsha: Still the best. AB.,Mumbai
3/7/2021 23:59,atulsinha02,"RT @NiteshNRane: Arre bhai..
Woh “Varun” defamation notice ka kya hua? 
Or everyone is quarantined with the “penguin” at the byculla zoo ??…",Mumbai
3/7/2021 23:59,ravikantagaur,"""'After Polls In 4 States, Election Body's Covid Warning About Rallies""""
वाह-वाह...
It's funny to call it an election rally &amp; then follow 6' distance,use of sanitizer,checking temperature of so many people , really a joke!With so many jokes already there...Have a heart.. Mockery!",Mumbai
3/7/2021 23:59,Fatima_Z0hra,@AchillezZ__ All India Muslim Personal Law Board were always biased. Don't trust them much.,Mumbai
3/7/2021 23:59,GyanendraDash5,"RT @IPL: Upstox Most Valuable Asset of the Match between @mipaltan and @RCBTweets is Harshal Patel.

@upstox #StartKarkeDekho #VIVOIPL http…",Mumbai
3/8/2021 23:59,krveale,"RT @imMAK02: Do you remember this video from Delhi Anti-Muslim carnage?

Read what Waseem alleged in his complaint against cops. 

SHO Shai…",Mumbai
3/8/2021 23:59,shashankpj,Can HEROcoin make money from Betting and Gaming? https://t.co/v3jbtffTta,Mumbai
3/8/2021 23:59,VishneswarR,RT @Smart_Dummi: @shirishthorat @AmitShah We can see some of them in civil uniforms too. I doubt these folks come out to mingle with the ou…,Mumbai
3/8/2021 23:59,vrushabheee,Yeah I talk a lot sit down,Mumbai
3/8/2021 23:59,Himanshuji777,"RT @OfficialMSGfc: Dera Sacha Sauda is running an initiative ""Kul Ka Crown"" to promote gender equality. Under this the broom stays at bride…",Mumbai
3/8/2021 23:59,pat_20m,"RT @AudaciousQuest_: Red terror in Kerala.

- How many Congress worker has BJP k*lled because of losing elections even in cow belt?
- How m…",Mumbai
3/8/2021 23:59,AarenShintre,@deliciaonlyy @embarraseddonut Bruhhh😂😭,Mumbai
3/8/2021 23:59,TOIMumbai,Mumbai: Elgar hearing: Court asks how defence got digital forensic report https://t.co/Qzhisrl0ra,Mumbai
3/8/2021 23:59,kidcoziboi,RT @happiestsouleva: that jimins part in airplane pt 2  https://t.co/FPMd35gM77,Mumbai
3/8/2021 23:59,Gauher7Imteyaz,"RT @RajeevMatta: BJP is World's No 1.
No other political party anywhere in the world has bought more public representatives (MLAs) than BJP…",Mumbai
3/8/2021 23:59,imranafrica84,Why there is no water supply in Andheri K west today ? @mybmc @mybmcwardKW,Mumbai
3/8/2021 23:59,SriArjun18,Transcendental consciousness (part 80) https://t.co/hCRTXjvwPp,Mumbai
3/9/2021 23:59,Priyanka_Thrive,"RT @bharatidubey: Making young girls believe every dream is possible, another feather added to #PriyankaChopra’s shining cap. The power ico…",Mumbai
3/9/2021 23:59,piyushlive1,"Super #Show Green Village Resort, Mumbai https://t.co/Am18YpGJ8R https://t.co/pBQLtNvfx8",Mumbai
3/9/2021 23:59,Sathish_1018,"RT @IPL: Award for CRED Power Player of the Match between @mipaltan and @RCBTweets goes to Virat Kohli.

@CRED_club  #CREDPowerplay #VIVOIP…",Mumbai
3/9/2021 23:59,FireFly53647402,"RT @AdvAshutoshDube: OMG!😲
Jolly LL.B 2 scene in real life!
Be aware of such fraud and scammers!
https://t.co/ZcUZJLI5T9",Mumbai
3/9/2021 23:59,cookytaee,RT @happiestsouleva: that jimins part in airplane pt 2  https://t.co/FPMd35gM77,Mumbai
3/9/2021 23:59,LOVE4SSR2,"RT @harry_230491: Lie about his Suicide will Die very soon
@ips_nupurprasad U have to rule out suicide theory

SUSHANT LIVES FOREVER",Mumbai
3/9/2021 23:59,haki_705,"RT @dsouzaprinson10: Petition to remake Kabir Singh with Rahul Dravid as the protagonist.
#RahulDravid #Cred https://t.co/tmkP9XB94k",Mumbai
3/9/2021 23:59,sunay1985,RT @santoshEB21: Just witnessed a hit and run opposite Shanti Ashram Depot Borivali West. The driver fled the spot immediately leaving the…,Mumbai
3/9/2021 23:59,thalia_twt,RT @happiestsouleva: that jimins part in airplane pt 2  https://t.co/FPMd35gM77,Mumbai
3/9/2021 23:59,priran,@KaduAmol Om shanti,Mumbai
3/9/2021 23:59,anupammishra91,"RT @RatanSharda55: A factoid - 
One of the earliest resolution of #RSS was for restoration of all Hindu temples (with focus on #KashiVishwa…",Mumbai
3/9/2021 23:59,ValPillai,RT @MinhazMerchant: #SachinWaze currently being driven to #TalojaJail. The route must look familiar to him #Karma,Mumbai
3/10/2021 23:59,Ramesh75263565,"RT @Twinkleinvest: 11 Stocks to Buy &amp; Hold for Years 📈

1. HDFC Bank
2. Bajaj Finance
3. Airtel
4. Asian Paints
5. ITC
6. TCS
7. Pidilite
8…",Mumbai
3/10/2021 23:59,iwmbuzz,"#ShraddhaArya’s big fashion hack for a hot summer day revealed Follow Us on @iwmbuzz @shraddhaaryafp

 #FashionInfluencer #hot #ShraddhaArya

https://t.co/QPlWvI6J3z",Mumbai
3/10/2021 23:59,mr_pavithran_,"RT @MalavikaM_: Fridays are for riding 🏍🖤
#EnfieldLoverForLife https://t.co/Dc2PGPofc4",Mumbai
3/10/2021 23:59,23flowery_,RT @happiestsouleva: that jimins part in airplane pt 2  https://t.co/FPMd35gM77,Mumbai
3/10/2021 23:59,_jaggicheema,"RT @amaanbali: The labourers belonging to Bihar, UP, Chattisgarh &amp; Jharkhand under the banner of Pravasi Mazdoor Samiti protested for the s…",Mumbai
3/10/2021 23:59,levonmark_,"RT @BOWorldwide: #VakeelSaabReview: #PawanKalyan’s Film Is A Story That Makes You Think &amp; Cry At The Same Time!

Critics Rating: ⭐⭐⭐ 1/2

@…",Mumbai
3/10/2021 23:59,YashuRakul,RT @taran_adarsh: #South leads yet again... #Telugu film #VakeelSaab [#PawanKalyan] and #Tamil film #Karnan [#Dhanush] are setting the #BO…,Mumbai
3/10/2021 23:59,Iraivan10,@c0rpscat based post,Mumbai
3/10/2021 23:59,layshaglezzz,RT @vikasydv_: I’m the one who is hurting my own feelings by having high hopes lol,Mumbai
3/10/2021 23:59,An0nymous07,@bisouvante A Smut's coming!!!!!,Mumbai
3/10/2021 23:59,Sathish_1018,RT @bhogleharsha: Still the best. AB.,Mumbai
3/10/2021 23:59,atulsinha02,"RT @NiteshNRane: Arre bhai..
Woh “Varun” defamation notice ka kya hua? 
Or everyone is quarantined with the “penguin” at the byculla zoo ??…",Mumbai
